#beta     a(fm)          T(MeV)
Beta =5.7, a0fm=0.12836, T=194.765
Beta =5.75, a0fm=0.121353, T=206.011
Beta =5.8, a0fm=0.114725, T=217.913
Beta =5.85, a0fm=0.108455, T=230.51
Beta =5.9, a0fm=0.102525, T=243.842
Beta =5.95, a0fm=0.0969165, T=257.954
Beta =6, a0fm=0.0916119, T=272.89
Beta =6.05, a0fm=0.0865951, T=288.7
Beta =6.1, a0fm=0.0818507, T=305.434
Beta =6.15, a0fm=0.077364, T=323.148
Beta =6.2, a0fm=0.0731212, T=341.898
Beta =6.25, a0fm=0.0691092, T=361.746
Beta =6.3, a0fm=0.0653156, T=382.757
Beta =6.35, a0fm=0.0617286, T=404.999
Beta =6.4, a0fm=0.0583371, T=428.544
Beta =6.45, a0fm=0.0551304, T=453.47
Beta =6.5, a0fm=0.0520987, T=479.858
Beta =6.55, a0fm=0.0492325, T=507.794
Beta =6.6, a0fm=0.0465229, T=537.37
Beta =6.65, a0fm=0.0439613, T=568.682
Beta =6.7, a0fm=0.0415398, T=601.833
Beta =6.75, a0fm=0.0392507, T=636.932
Beta =6.8, a0fm=0.0370869, T=674.092
Beta =6.85, a0fm=0.0350416, T=713.438
Beta =6.9, a0fm=0.0331083, T=755.097
Beta =6.95, a0fm=0.0312811, T=799.206

Pick best 10 Temperature
Beta = 5.70 , a0fm = 0.1283600 , T = 194.765
Beta = 5.95 , a0fm = 0.0969165 , T = 257.954
Beta = 6.00 , a0fm = 0.0916119 , T = 272.89
Beta = 6.10 , a0fm = 0.0818507 , T = 305.434
Beta = 6.20 , a0fm = 0.0731212 , T = 341.898
Beta = 6.35 , a0fm = 0.0617286 , T = 404.999
Beta = 6.55 , a0fm = 0.0492325 , T = 507.794
Beta = 6.70 , a0fm = 0.0415398 , T = 601.833
Beta = 6.85 , a0fm = 0.0350416 , T = 713.438
Beta = 6.95 , a0fm = 0.0312811 , T = 799.206

Beta[10]= {5.7      5.95     6       6.1      6.2       6.35     6.55     6.7	 6.85    6.95};
T[10]   = {194.765  257.954  272.89  305.434  341.898   404.999  507.794	601.833	 713.438 799.206};
