#Beta=5.440000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 4.815608e-03 	 -4.632996e-20 	 2.407804e-03 	 -2.316498e-20 	 -9.453792e-04 	 2.398044e-19 	 -4.726896e-04 	 1.199022e-19 
3 	 2.907662e-03 	 3.944357e-19 	 2.574423e-03 	 1.160352e-19 	 -8.249467e-03 	 -8.885271e-19 	 -3.064949e-03 	 -2.162409e-19 
4 	 7.194942e-03 	 5.094295e-19 	 3.729553e-03 	 2.143838e-19 	 8.357156e-03 	 -3.666712e-19 	 -2.094224e-04 	 -2.538485e-19 
5 	 1.430620e-04 	 -2.252872e-19 	 3.012255e-03 	 1.264496e-19 	 1.349569e-02 	 1.922116e-18 	 2.531601e-03 	 1.813445e-19 
6 	 6.739865e-03 	 6.292226e-19 	 3.633523e-03 	 2.102451e-19 	 3.283177e-02 	 2.188817e-18 	 7.581630e-03 	 5.159232e-19 
7 	 5.713128e-03 	 8.701094e-19 	 3.930610e-03 	 3.045114e-19 	 2.833398e-02 	 -6.033384e-19 	 1.054625e-02 	 3.560287e-19 
8 	 6.950434e-04 	 -1.374158e-18 	 3.526164e-03 	 9.467774e-20 	 1.140951e-02 	 1.092233e-18 	 1.065416e-02 	 4.480543e-19 
9 	 -1.594370e-02 	 1.625205e-19 	 1.362846e-03 	 1.022158e-19 	 1.742987e-02 	 5.126536e-19 	 1.140702e-02 	 4.552320e-19 
10 	 -5.099683e-03 	 -2.397427e-18 	 7.165932e-04 	 -1.477485e-19 	 6.518022e-03 	 7.892256e-19 	 1.091812e-02 	 4.886313e-19 
11 	 1.417706e-02 	 2.597971e-18 	 1.940272e-03 	 1.018624e-19 	 8.176038e-03 	 -4.313385e-19 	 1.066884e-02 	 4.049977e-19 
12 	 -8.795019e-03 	 5.703228e-18 	 1.045664e-03 	 5.686429e-19 	 1.229361e-02 	 1.189276e-18 	 1.080423e-02 	 4.703543e-19 
13 	 -2.888763e-03 	 -2.076661e-18 	 7.430162e-04 	 3.651580e-19 	 4.725753e-04 	 -6.712684e-19 	 1.000949e-02 	 3.825371e-19 
14 	 8.397595e-03 	 3.635712e-19 	 1.289772e-03 	 3.650446e-19 	 9.958470e-03 	 1.715942e-18 	 1.000585e-02 	 4.777804e-19 
15 	 1.140390e-02 	 5.253508e-18 	 1.964047e-03 	 6.909422e-19 	 2.620282e-02 	 -2.019159e-18 	 1.108565e-02 	 3.113177e-19 
16 	 1.340770e-02 	 2.871216e-18 	 2.679276e-03 	 8.272093e-19 	 2.801493e-03 	 3.117416e-18 	 1.056789e-02 	 4.866989e-19 
17 	 -7.878938e-03 	 -1.526531e-18 	 2.058204e-03 	 6.887540e-19 	 -5.583365e-03 	 8.278754e-19 	 9.617812e-03 	 5.067681e-19 
18 	 -1.175298e-02 	 1.473328e-18 	 1.290916e-03 	 7.323414e-19 	 1.793759e-02 	 3.171626e-18 	 1.008002e-02 	 6.548157e-19 
19 	 6.775620e-03 	 -1.714428e-18 	 1.579585e-03 	 6.035641e-19 	 1.872377e-03 	 3.365042e-18 	 9.648041e-03 	 7.974592e-19 
20 	 2.412449e-02 	 -3.356716e-18 	 2.706830e-03 	 4.055501e-19 	 3.028575e-03 	 -2.466895e-18 	 9.317067e-03 	 6.342415e-19 
21 	 -5.200763e-04 	 -1.828968e-18 	 2.553168e-03 	 2.991445e-19 	 3.536426e-02 	 3.615680e-19 	 1.055741e-02 	 6.212571e-19 
22 	 4.547542e-03 	 2.864364e-18 	 2.643821e-03 	 4.157454e-19 	 6.249400e-02 	 2.993059e-18 	 1.291816e-02 	 7.290663e-19 
23 	 1.012473e-02 	 2.444129e-18 	 2.969078e-03 	 5.039360e-19 	 5.800742e-02 	 4.757774e-18 	 1.487857e-02 	 9.042274e-19 
24 	 8.351239e-03 	 -3.578777e-18 	 3.193335e-03 	 3.338229e-19 	 3.893508e-02 	 2.403315e-18 	 1.588092e-02 	 9.666894e-19 
25 	 1.658145e-02 	 1.883547e-18 	 3.728859e-03 	 3.958119e-19 	 2.564536e-02 	 4.724980e-19 	 1.627150e-02 	 9.469218e-19 
26 	 4.435391e-03 	 -1.455929e-19 	 3.756034e-03 	 3.749886e-19 	 -9.082583e-03 	 -4.429836e-18 	 1.529634e-02 	 7.401234e-19 
27 	 2.394973e-03 	 1.364307e-18 	 3.705624e-03 	 4.116301e-19 	 2.665507e-02 	 -1.582801e-19 	 1.571704e-02 	 7.068492e-19 
28 	 3.822319e-03 	 -8.508185e-19 	 3.709792e-03 	 3.665426e-19 	 1.694877e-02 	 -7.468948e-19 	 1.576103e-02 	 6.549298e-19 
29 	 2.039563e-02 	 1.336847e-18 	 4.285165e-03 	 4.000014e-19 	 4.462059e-02 	 -1.746770e-18 	 1.675618e-02 	 5.721125e-19 
30 	 6.208900e-03 	 2.472868e-18 	 4.349290e-03 	 4.690970e-19 	 1.738805e-02 	 -9.394327e-19 	 1.677725e-02 	 5.217277e-19 
31 	 3.405849e-02 	 2.528348e-19 	 5.307651e-03 	 4.621208e-19 	 2.567576e-02 	 -7.412061e-19 	 1.706429e-02 	 4.809879e-19 
32 	 -7.926703e-03 	 3.332395e-19 	 4.894078e-03 	 4.580932e-19 	 3.636541e-02 	 -2.725898e-18 	 1.766745e-02 	 3.807727e-19 
33 	 -1.339753e-02 	 2.539306e-19 	 4.339787e-03 	 4.519065e-19 	 -3.638303e-03 	 -1.740078e-19 	 1.702183e-02 	 3.639612e-19 
34 	 5.313602e-03 	 2.696297e-18 	 4.368428e-03 	 5.179180e-19 	 -4.038993e-02 	 -1.523237e-18 	 1.533324e-02 	 3.084553e-19 
35 	 -5.942724e-03 	 -2.366560e-18 	 4.073824e-03 	 4.355043e-19 	 -6.065830e-02 	 1.719163e-18 	 1.316206e-02 	 3.487613e-19 
36 	 2.355874e-02 	 -4.675124e-18 	 4.615071e-03 	 2.935424e-19 	 -6.470191e-02 	 2.497011e-18 	 1.099917e-02 	 4.084349e-19 
