#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 -1.065727e-02 	 1.316143e-19 	 1.289049e-02 	 1.151797e-18 
3 	 1.494625e-02 	 1.551796e-18 	 -4.108149e-03 	 -1.189611e-18 
4 	 -7.111903e-03 	 -2.673239e-19 	 2.053811e-03 	 -1.621618e-18 
5 	 -2.912614e-03 	 1.762544e-18 	 -7.335356e-03 	 2.596731e-19 
6 	 -9.861194e-03 	 -9.604030e-19 	 3.103068e-02 	 4.289793e-18 
7 	 -3.128155e-02 	 -1.970750e-18 	 2.952662e-02 	 -8.653540e-19 
8 	 -2.690408e-02 	 2.945837e-18 	 -3.039521e-04 	 2.068350e-18 
9 	 1.811549e-02 	 -2.877321e-18 	 8.567962e-03 	 -3.073245e-18 
10 	 2.029589e-02 	 1.061469e-18 	 -2.651419e-02 	 -1.969634e-18 
11 	 -1.590947e-02 	 -1.536779e-18 	 -3.156067e-02 	 4.310038e-19 
12 	 -4.751685e-02 	 1.735150e-18 	 -2.219418e-02 	 4.261852e-18 
13 	 -3.485280e-02 	 -1.890661e-20 	 -3.840437e-03 	 3.881711e-20 
14 	 -3.505481e-02 	 -2.069981e-18 	 1.581932e-02 	 -1.643035e-18 
15 	 -5.114039e-02 	 -3.397047e-19 	 1.772913e-02 	 2.316980e-18 
16 	 -4.553888e-02 	 -2.459606e-18 	 5.691809e-02 	 2.212910e-18 
17 	 -2.341315e-02 	 4.676584e-18 	 -5.440988e-03 	 -4.262521e-18 
18 	 -2.426419e-02 	 3.816762e-18 	 4.238897e-02 	 2.627517e-18 
19 	 -4.903803e-03 	 -9.634215e-19 	 5.381363e-02 	 -1.161836e-18 
20 	 6.910265e-03 	 -2.850161e-19 	 3.096348e-02 	 -1.370646e-18 
21 	 6.051033e-03 	 2.208560e-19 	 5.130283e-02 	 -3.387797e-18 
22 	 -4.233178e-02 	 -7.790220e-19 	 6.743760e-02 	 2.310288e-18 
23 	 -1.412361e-02 	 -6.470391e-19 	 6.052824e-02 	 -2.617144e-18 
24 	 -2.285254e-02 	 1.313636e-18 	 2.736142e-02 	 -7.315018e-19 
25 	 -3.899529e-02 	 -1.470380e-18 	 3.317685e-02 	 2.351782e-18 
26 	 -4.616298e-02 	 -1.097943e-18 	 1.553551e-02 	 -2.986241e-18 
27 	 -1.220028e-02 	 3.048116e-19 	 2.699406e-02 	 -1.020622e-19 
28 	 -3.974923e-02 	 2.941233e-18 	 2.722492e-02 	 -2.416700e-18 
29 	 -2.367563e-02 	 1.754007e-18 	 -1.520957e-02 	 6.933540e-19 
30 	 5.531170e-03 	 -2.328141e-18 	 -2.161600e-02 	 2.089432e-18 
31 	 -6.865417e-02 	 -7.459746e-19 	 5.045539e-03 	 3.158910e-19 
32 	 -3.863574e-02 	 -1.565134e-18 	 1.400630e-02 	 5.273774e-19 
33 	 -5.432538e-02 	 -2.517236e-18 	 3.398261e-02 	 4.237423e-18 
34 	 -4.916673e-03 	 -8.768513e-19 	 1.821031e-02 	 -1.797969e-18 
35 	 -2.926296e-02 	 6.010091e-19 	 -5.823890e-02 	 -5.297198e-18 
36 	 -4.968221e-02 	 -1.485513e-18 	 -2.760746e-02 	 5.242988e-18 
37 	 -4.015078e-02 	 4.305267e-19 	 -2.814175e-03 	 -4.556326e-18 
38 	 -4.248051e-03 	 8.278244e-19 	 -2.242411e-02 	 -4.217680e-18 
39 	 7.300881e-03 	 1.115218e-18 	 1.637282e-02 	 -2.856195e-18 
40 	 -2.876178e-02 	 -1.371945e-19 	 -3.232501e-02 	 7.431470e-18 
41 	 -4.061542e-02 	 9.275124e-19 	 -1.523616e-02 	 -9.777897e-19 
42 	 -2.819856e-02 	 -1.176869e-18 	 2.589846e-03 	 -3.949307e-18 
43 	 -9.631823e-03 	 2.724178e-18 	 -4.361214e-02 	 -3.604638e-18 
44 	 -1.481310e-02 	 1.569892e-18 	 -1.748389e-02 	 3.302132e-18 
45 	 -7.019618e-03 	 2.855390e-18 	 -1.239950e-02 	 -1.612918e-19 
46 	 2.389644e-02 	 2.043216e-18 	 -3.309684e-02 	 -1.513867e-18 
47 	 3.010902e-02 	 -3.428131e-18 	 -6.673683e-03 	 1.307735e-18 
48 	 7.590985e-02 	 -4.698837e-19 	 -3.184868e-02 	 -1.057432e-19 
49 	 9.603452e-02 	 -2.120191e-18 	 -8.528911e-03 	 8.265368e-19 
50 	 4.992969e-02 	 1.237320e-18 	 -5.416252e-03 	 1.994062e-18 
51 	 2.331452e-02 	 3.140096e-18 	 4.183511e-02 	 1.878615e-18 
52 	 -1.224756e-04 	 2.190542e-18 	 2.022984e-02 	 -3.924544e-18 
53 	 -9.216750e-05 	 4.021629e-19 	 3.712805e-02 	 3.013680e-18 
54 	 3.488978e-02 	 -1.516712e-19 	 2.962459e-02 	 1.151128e-19 
55 	 -2.358577e-02 	 3.950876e-18 	 2.797138e-02 	 1.690552e-18 
56 	 -3.535668e-02 	 4.642420e-19 	 1.953031e-02 	 2.981556e-18 
57 	 -6.316030e-02 	 1.809095e-19 	 6.618108e-02 	 1.027984e-18 
58 	 -6.316030e-02 	 1.809095e-19 	 6.618108e-02 	 1.027984e-18 
59 	 -9.084333e-02 	 2.076611e-18 	 8.651635e-02 	 -6.692606e-22 
60 	 -6.244561e-02 	 -9.354198e-19 	 5.777244e-02 	 3.614007e-19 
61 	 -1.257957e-02 	 -2.968056e-18 	 2.892679e-02 	 -5.202832e-18 
62 	 -1.917054e-02 	 -7.348298e-19 	 -7.478647e-03 	 -5.089727e-19 
