#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 Current_Plaq 	 AvgPlaq 	 TadpoleFactor 	 TadpoleFactorNt 	 CurrentPolyakovLoop.real 	 CurrentPolyakovLoop.imag 	  CurrentModPolyakovLoop 	 AverageModPolyakovLoop 	 AverageModPolyakovLoopTadpoleCorrected 	  CurrentBareFreeEnergy 	 AvgBareFreeEnergy  	 CurrentBareFreeEnergyTadpoleCorrected 	 AvgBareFreeEnergyTadpoleCorrected 
1 	 4.852806e-01 	 0.4853  	 0.8346 	 0.4853 	 0.0616 	 0.0021 	 6.162421e-02 	 0.0616 	 0.0616 	 2.786701e+00  	 2.7867  	 3.509728e+00 	 3.5097 
2 	 1.000000e+00 	 0.7426  	 1.0000 	 1.0000 	 1.0000 	 0.0000 	 1.000000e+00 	 0.5308 	 0.5308 	 -0.000000e+00  	 1.3934  	 -0.000000e+00 	 1.7549 
3 	 8.390987e-01 	 0.7748  	 0.9571 	 0.8391 	 0.8260 	 0.0000 	 8.259885e-01 	 0.6292 	 0.6292 	 1.911744e-01  	 0.9926  	 3.666013e-01 	 1.2921 
4 	 7.589488e-01 	 0.7708  	 0.9334 	 0.7589 	 0.7175 	 -0.0009 	 7.174841e-01 	 0.6513 	 0.6513 	 3.320045e-01  	 0.8275  	 6.078254e-01 	 1.1210 
5 	 7.097408e-01 	 0.7586  	 0.9179 	 0.7097 	 0.6391 	 -0.0005 	 6.391212e-01 	 0.6488 	 0.6488 	 4.476612e-01  	 0.7515  	 7.905166e-01 	 1.0549 
6 	 6.767763e-01 	 0.7450  	 0.9070 	 0.6768 	 0.5810 	 -0.0018 	 5.809723e-01 	 0.6375 	 0.6375 	 5.430522e-01  	 0.7168  	 9.334666e-01 	 1.0347 
7 	 6.527856e-01 	 0.7318  	 0.8989 	 0.6528 	 0.5340 	 0.0001 	 5.339609e-01 	 0.6227 	 0.6227 	 6.274327e-01  	 0.7040  	 1.053939e+00 	 1.0374 
8 	 6.339082e-01 	 0.7196  	 0.8923 	 0.6339 	 0.4990 	 -0.0000 	 4.990305e-01 	 0.6073 	 0.6073 	 6.950880e-01  	 0.7029  	 1.150939e+00 	 1.0516 
9 	 6.201396e-01 	 0.7085  	 0.8874 	 0.6201 	 0.4736 	 -0.0000 	 4.735871e-01 	 0.5924 	 0.5924 	 7.474194e-01  	 0.7078  	 1.225230e+00 	 1.0709 
10 	 6.088270e-01 	 0.6986  	 0.8833 	 0.6088 	 0.4445 	 0.0016 	 4.444616e-01 	 0.5776 	 0.5776 	 8.108916e-01  	 0.7181  	 1.307113e+00 	 1.0945 
