#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 1.039352e-02 	 -2.808117e-19 	 1.039352e-02 	 -2.808117e-19 	 -1.439422e-04 	 4.287885e-19 	 -1.439422e-04 	 4.287885e-19 
2 	 -0.000000e+00 	 -0.000000e+00 	 5.196758e-03 	 -1.404059e-19 	 -0.000000e+00 	 -0.000000e+00 	 -7.197110e-05 	 2.143943e-19 
3 	 1.561217e-03 	 7.352140e-20 	 3.984911e-03 	 -6.909677e-20 	 9.909222e-04 	 -1.479557e-20 	 2.823267e-04 	 1.379976e-19 
4 	 1.227034e-03 	 -6.961391e-20 	 3.295442e-03 	 -6.922606e-20 	 3.041742e-03 	 1.763404e-20 	 9.721805e-04 	 1.079067e-19 
5 	 4.035993e-03 	 -9.563646e-20 	 3.443552e-03 	 -7.450814e-20 	 5.962247e-03 	 -1.897954e-19 	 1.970194e-03 	 4.836633e-20 
6 	 3.940753e-04 	 -2.838912e-20 	 2.935306e-03 	 -6.682164e-20 	 5.226053e-03 	 3.082484e-19 	 2.512837e-03 	 9.168001e-20 
7 	 6.214868e-04 	 1.333971e-19 	 2.604760e-03 	 -3.821896e-20 	 2.872393e-03 	 2.613643e-20 	 2.564202e-03 	 8.231664e-20 
8 	 2.041197e-03 	 -1.694616e-19 	 2.534315e-03 	 -5.462428e-20 	 7.069820e-03 	 -1.236850e-19 	 3.127404e-03 	 5.656644e-20 
9 	 4.566521e-03 	 -2.514818e-19 	 2.760115e-03 	 -7.649734e-20 	 4.647892e-03 	 6.908612e-20 	 3.296347e-03 	 5.795751e-20 
10 	 1.994463e-03 	 -2.061289e-20 	 2.683550e-03 	 -7.090890e-20 	 3.347661e-03 	 -1.858125e-19 	 3.301479e-03 	 3.358051e-20 
11 	 -2.049644e-03 	 -1.974701e-19 	 2.253260e-03 	 -8.241446e-20 	 2.826526e-03 	 -6.347980e-20 	 3.258301e-03 	 2.475685e-20 
12 	 -9.010004e-04 	 8.913363e-20 	 1.990405e-03 	 -6.811879e-20 	 3.447148e-03 	 1.929200e-19 	 3.274039e-03 	 3.877045e-20 
13 	 2.845909e-03 	 1.318884e-19 	 2.056213e-03 	 -5.273362e-20 	 7.637460e-04 	 7.689843e-20 	 3.080939e-03 	 4.170337e-20 
14 	 1.375585e-04 	 -1.424237e-19 	 1.919166e-03 	 -5.914006e-20 	 -2.113285e-03 	 -7.692449e-20 	 2.709923e-03 	 3.322995e-20 
15 	 3.356339e-03 	 -2.046971e-19 	 2.014978e-03 	 -6.884386e-20 	 -6.525737e-04 	 3.211264e-19 	 2.485757e-03 	 5.242305e-20 
16 	 1.623663e-03 	 -1.029620e-19 	 1.990520e-03 	 -7.097624e-20 	 5.564802e-04 	 -2.486091e-19 	 2.365177e-03 	 3.360854e-20 
17 	 -2.519614e-03 	 -2.015339e-20 	 1.725218e-03 	 -6.798666e-20 	 4.588808e-03 	 1.628605e-19 	 2.495979e-03 	 4.121159e-20 
18 	 8.049989e-04 	 -2.828583e-19 	 1.674095e-03 	 -7.992398e-20 	 -2.992100e-03 	 -1.134586e-19 	 2.191085e-03 	 3.261880e-20 
19 	 5.555801e-03 	 1.681848e-19 	 1.878395e-03 	 -6.686562e-20 	 4.084289e-03 	 1.062513e-19 	 2.290728e-03 	 3.649420e-20 
20 	 5.322875e-03 	 -4.341019e-20 	 2.050619e-03 	 -6.569285e-20 	 8.681279e-03 	 -2.233222e-19 	 2.610255e-03 	 2.350338e-20 
21 	 5.339320e-03 	 3.574881e-20 	 2.207224e-03 	 -6.086229e-20 	 3.481535e-03 	 -5.966619e-20 	 2.651745e-03 	 1.954292e-20 
22 	 8.083004e-03 	 -4.396517e-19 	 2.474305e-03 	 -7.807999e-20 	 3.460575e-03 	 -1.286406e-19 	 2.688510e-03 	 1.280731e-20 
23 	 8.981702e-03 	 7.661724e-20 	 2.757235e-03 	 -7.135403e-20 	 -4.800508e-04 	 -1.338916e-20 	 2.550746e-03 	 1.166833e-20 
24 	 9.804384e-03 	 5.079116e-20 	 3.050867e-03 	 -6.626464e-20 	 -4.907936e-04 	 3.364884e-19 	 2.424015e-03 	 2.520250e-20 
25 	 8.861861e-03 	 -2.564564e-19 	 3.283306e-03 	 -7.387231e-20 	 -4.596677e-03 	 2.745164e-19 	 2.143188e-03 	 3.517506e-20 
26 	 1.119718e-02 	 -5.104743e-20 	 3.587686e-03 	 -7.299443e-20 	 -7.047502e-03 	 9.866217e-20 	 1.789700e-03 	 3.761687e-20 
27 	 9.327100e-03 	 -2.614998e-19 	 3.800257e-03 	 -7.997611e-20 	 -4.261498e-03 	 4.024234e-20 	 1.565581e-03 	 3.771411e-20 
28 	 9.257317e-03 	 -7.575416e-20 	 3.995152e-03 	 -7.982533e-20 	 1.003649e-03 	 6.864077e-19 	 1.545512e-03 	 6.088174e-20 
29 	 5.470393e-03 	 -1.511614e-19 	 4.046022e-03 	 -8.228519e-20 	 -1.874066e-03 	 -2.951064e-19 	 1.427596e-03 	 4.860628e-20 
30 	 8.544566e-03 	 -5.511693e-20 	 4.195974e-03 	 -8.137959e-20 	 4.389345e-04 	 7.554392e-20 	 1.394640e-03 	 4.950421e-20 
31 	 8.544566e-03 	 -5.511693e-20 	 4.336251e-03 	 -8.053240e-20 	 4.389345e-04 	 7.554392e-20 	 1.363811e-03 	 5.034420e-20 
