#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iDzF3iMinusF4iDzF4i.real 	 TraceF3iDzF3iMinusF4iDzF4i.imag 	 AvgTraceF3iDzF3iMinusF4iDzF4i.real 	 AvgTraceF3iDzF3iMinusF4iDzF4i.imag 	 TraceF4iDzF3iPlusF3iDzF4i.real 	 TraceF4iDzF3iPlusF3iDzF4i.imag 	 AvgTraceF4iDzF3iPlusF3iDzF4i.real 	 AvgTraceF4iDzF3iPlusF3iDzF4i.imag 
1 	 -4.750765e-03 	 3.036333e-03 	 -4.750765e-03 	 3.036333e-03 	 -2.050643e-03 	 1.594582e-04 	 -2.050643e-03 	 1.594582e-04 
2 	 0.000000e+00 	 0.000000e+00 	 -2.375382e-03 	 1.518166e-03 	 0.000000e+00 	 0.000000e+00 	 -1.025322e-03 	 7.972909e-05 
3 	 -4.740698e-02 	 -8.005587e-05 	 -1.738591e-02 	 9.854257e-04 	 7.720583e-05 	 -1.503441e-04 	 -6.578125e-04 	 3.038043e-06 
4 	 -6.361902e-02 	 -6.334905e-04 	 -2.894419e-02 	 5.806967e-04 	 1.305716e-03 	 3.209469e-04 	 -1.669304e-04 	 8.251527e-05 
5 	 -6.970038e-02 	 -7.267946e-04 	 -3.709543e-02 	 3.191984e-04 	 3.402107e-03 	 -4.616341e-05 	 5.468770e-04 	 5.677953e-05 
6 	 -7.465864e-02 	 -6.262736e-04 	 -4.335596e-02 	 1.616197e-04 	 3.085512e-03 	 -2.589026e-04 	 9.699829e-04 	 4.165848e-06 
7 	 -7.596014e-02 	 -1.865779e-04 	 -4.801370e-02 	 1.118772e-04 	 3.204188e-03 	 -9.999439e-04 	 1.289155e-03 	 -1.392784e-04 
8 	 -7.427550e-02 	 1.648476e-04 	 -5.129643e-02 	 1.184985e-04 	 7.724926e-03 	 -4.237493e-04 	 2.093626e-03 	 -1.748373e-04 
9 	 -7.171463e-02 	 1.767565e-04 	 -5.356512e-02 	 1.249716e-04 	 2.266835e-03 	 1.777589e-04 	 2.112872e-03 	 -1.356599e-04 
10 	 -7.188429e-02 	 -7.170305e-04 	 -5.539703e-02 	 4.077141e-05 	 3.925119e-04 	 1.279360e-03 	 1.940836e-03 	 5.842090e-06 
11 	 -7.331500e-02 	 -1.684441e-03 	 -5.702594e-02 	 -1.160661e-04 	 -7.497181e-04 	 1.753156e-04 	 1.696240e-03 	 2.124878e-05 
12 	 -7.109852e-02 	 -2.050535e-04 	 -5.819865e-02 	 -1.234817e-04 	 1.902452e-04 	 -1.572751e-04 	 1.570740e-03 	 6.371785e-06 
13 	 -6.903799e-02 	 8.218097e-05 	 -5.903245e-02 	 -1.076615e-04 	 -1.233591e-03 	 2.267456e-04 	 1.355023e-03 	 2.332362e-05 
14 	 -6.997416e-02 	 8.416099e-04 	 -5.981400e-02 	 -3.985641e-05 	 -3.449989e-03 	 1.536725e-03 	 1.011807e-03 	 1.314237e-04 
15 	 -6.380608e-02 	 1.123018e-03 	 -6.008014e-02 	 3.766852e-05 	 -1.236455e-03 	 6.305602e-04 	 8.619233e-04 	 1.646995e-04 
16 	 -6.126661e-02 	 4.760830e-04 	 -6.015429e-02 	 6.506942e-05 	 6.012809e-04 	 -1.632622e-03 	 8.456331e-04 	 5.236685e-05 
17 	 -6.446501e-02 	 2.055876e-06 	 -6.040786e-02 	 6.136274e-05 	 3.886757e-03 	 -1.768333e-03 	 1.024523e-03 	 -5.473314e-05 
18 	 -6.545992e-02 	 -9.517246e-04 	 -6.068853e-02 	 5.080113e-06 	 1.512665e-04 	 -2.645302e-03 	 9.760085e-04 	 -1.986536e-04 
19 	 -6.218444e-02 	 -1.305149e-03 	 -6.076727e-02 	 -6.387930e-05 	 2.196621e-03 	 -2.167827e-03 	 1.040251e-03 	 -3.022943e-04 
20 	 -6.015393e-02 	 -9.932257e-04 	 -6.073660e-02 	 -1.103466e-04 	 4.192098e-03 	 -1.535241e-03 	 1.197844e-03 	 -3.639416e-04 
21 	 -5.619350e-02 	 -2.749910e-04 	 -6.052026e-02 	 -1.181868e-04 	 3.790433e-04 	 7.256934e-04 	 1.158853e-03 	 -3.120543e-04 
22 	 -5.127657e-02 	 1.785178e-03 	 -6.010009e-02 	 -3.167025e-05 	 -1.593908e-03 	 -7.898324e-05 	 1.033728e-03 	 -3.014601e-04 
23 	 -5.080665e-02 	 1.225846e-03 	 -5.969603e-02 	 2.300436e-05 	 -2.449943e-03 	 4.539040e-04 	 8.822637e-04 	 -2.686182e-04 
24 	 -5.084395e-02 	 3.477431e-06 	 -5.932719e-02 	 2.219074e-05 	 2.230420e-03 	 3.633236e-04 	 9.384369e-04 	 -2.422873e-04 
25 	 -4.934693e-02 	 -4.658287e-04 	 -5.892798e-02 	 2.669959e-06 	 4.391200e-04 	 1.807914e-03 	 9.184642e-04 	 -1.602793e-04 
26 	 -4.198982e-02 	 -1.853936e-04 	 -5.827652e-02 	 -4.563257e-06 	 -6.237558e-04 	 1.068117e-03 	 8.591480e-04 	 -1.130332e-04 
27 	 -4.246520e-02 	 2.010756e-03 	 -5.769091e-02 	 7.007821e-05 	 1.749670e-04 	 2.757891e-03 	 8.338080e-04 	 -6.702727e-06 
28 	 -3.971931e-02 	 3.094267e-03 	 -5.704907e-02 	 1.780850e-04 	 4.375798e-03 	 1.168715e-03 	 9.603076e-04 	 3.527649e-05 
29 	 -4.355037e-02 	 2.095054e-03 	 -5.658360e-02 	 2.441873e-04 	 1.829487e-03 	 8.492420e-04 	 9.902793e-04 	 6.334427e-05 
30 	 -4.294633e-02 	 1.951721e-03 	 -5.612902e-02 	 3.011051e-04 	 2.095908e-03 	 1.497663e-03 	 1.027134e-03 	 1.111549e-04 
31 	 -4.294633e-02 	 1.951721e-03 	 -5.570377e-02 	 3.543508e-04 	 2.095908e-03 	 1.497663e-03 	 1.061610e-03 	 1.558810e-04 
32 	 -3.937165e-02 	 8.539680e-04 	 -5.519339e-02 	 3.699639e-04 	 -8.060574e-05 	 1.197194e-03 	 1.025916e-03 	 1.884220e-04 
33 	 -4.050550e-02 	 1.090606e-04 	 -5.474831e-02 	 3.620577e-04 	 1.180256e-03 	 1.939607e-03 	 1.030593e-03 	 2.414882e-04 
34 	 -3.589238e-02 	 3.318620e-05 	 -5.419372e-02 	 3.523850e-04 	 -1.839820e-03 	 1.257861e-03 	 9.461690e-04 	 2.713816e-04 
35 	 -3.432535e-02 	 -7.769873e-04 	 -5.362605e-02 	 3.201172e-04 	 -3.259552e-03 	 1.337746e-03 	 8.260056e-04 	 3.018491e-04 
36 	 -3.350502e-02 	 -5.143606e-04 	 -5.306713e-02 	 2.969373e-04 	 -2.315886e-03 	 7.385624e-04 	 7.387308e-04 	 3.139800e-04 
37 	 -3.333914e-02 	 -8.896044e-05 	 -5.253395e-02 	 2.865076e-04 	 -7.375269e-04 	 2.481118e-04 	 6.988320e-04 	 3.121998e-04 
38 	 -3.191867e-02 	 -1.355878e-03 	 -5.199144e-02 	 2.432869e-04 	 2.669805e-03 	 -1.885044e-03 	 7.506997e-04 	 2.543776e-04 
