#Beta=6.000000e+00, ml=5.690000e-03, ms=1.138000e-01,  Nt=6, Ns=24^3 
#Iters 	 Current_Plaq 	 AvgPlaq 	 CurrentPolyakovLoop.real 	 CurrentPolyakovLoop.imag 	 AveragePolyakovLoop.real 	 AveragePolyakovLoop.imag 	  CurrentModPolyakovLoop 	 AverageModPolyakovLoop 	 CurrentBareFreeEnergy 	 AvgBareFreeEnergy
1 	 3.000000e+00 	 3.000000e+00 	 1.000000e+00 	 0.000000e+00 	 1.000000e+00 	 0.000000e+00 	 1.000000e+00 	 1.000000e+00 	 -0.000000e+00 	 -0.000000e+00 
2 	 2.521457e+00 	 2.760728e+00 	 7.501975e-01 	 3.676950e-05 	 8.750988e-01 	 1.838475e-05 	 7.501975e-01 	 8.750988e-01 	 2.874188e-01 	 1.334185e-01 
3 	 2.285624e+00 	 2.602360e+00 	 6.096425e-01 	 6.453701e-04 	 7.866133e-01 	 2.273799e-04 	 6.096428e-01 	 7.866134e-01 	 4.948820e-01 	 2.400183e-01 
4 	 2.146505e+00 	 2.488397e+00 	 5.177947e-01 	 2.661617e-04 	 7.194087e-01 	 2.370753e-04 	 5.177948e-01 	 7.194088e-01 	 6.581762e-01 	 3.293255e-01 
5 	 2.052988e+00 	 2.401315e+00 	 4.509924e-01 	 4.814162e-05 	 6.657254e-01 	 1.992886e-04 	 4.509924e-01 	 6.657255e-01 	 7.963048e-01 	 4.068778e-01 
6 	 1.985595e+00 	 2.332028e+00 	 4.013761e-01 	 -7.062852e-05 	 6.216672e-01 	 1.543024e-04 	 4.013761e-01 	 6.216673e-01 	 9.128564e-01 	 4.753503e-01 
7 	 1.985595e+00 	 2.282538e+00 	 4.013761e-01 	 -7.062852e-05 	 5.901970e-01 	 1.221694e-04 	 4.013761e-01 	 5.901971e-01 	 9.128564e-01 	 5.272987e-01 
8 	 1.935515e+00 	 2.239160e+00 	 3.671904e-01 	 1.235625e-03 	 5.623212e-01 	 2.613514e-04 	 3.671925e-01 	 5.623215e-01 	 1.001869e+00 	 5.756815e-01 
9 	 1.897273e+00 	 2.201173e+00 	 3.350956e-01 	 1.092170e-03 	 5.370739e-01 	 3.536645e-04 	 3.350974e-01 	 5.370744e-01 	 1.093334e+00 	 6.216187e-01 
10 	 1.865249e+00 	 2.167580e+00 	 3.115402e-01 	 3.213747e-04 	 5.145205e-01 	 3.504355e-04 	 3.115403e-01 	 5.145210e-01 	 1.166226e+00 	 6.645189e-01 
11 	 1.839022e+00 	 2.137711e+00 	 2.887448e-01 	 -9.738070e-04 	 4.939955e-01 	 2.300498e-04 	 2.887464e-01 	 4.939960e-01 	 1.242206e+00 	 7.052278e-01 
12 	 1.839022e+00 	 2.112821e+00 	 2.887448e-01 	 -9.738070e-04 	 4.768913e-01 	 1.297284e-04 	 2.887464e-01 	 4.768919e-01 	 1.242206e+00 	 7.404654e-01 
13 	 1.839022e+00 	 2.091759e+00 	 2.887448e-01 	 -9.738070e-04 	 4.624184e-01 	 4.484108e-05 	 2.887464e-01 	 4.624192e-01 	 1.242206e+00 	 7.712835e-01 
14 	 1.839022e+00 	 2.073707e+00 	 2.887448e-01 	 -9.738070e-04 	 4.500132e-01 	 -2.791950e-05 	 2.887464e-01 	 4.500140e-01 	 1.242206e+00 	 7.984767e-01 
15 	 1.815349e+00 	 2.056483e+00 	 2.710534e-01 	 -8.395265e-04 	 4.380825e-01 	 -8.202664e-05 	 2.710547e-01 	 4.380834e-01 	 1.305435e+00 	 8.253461e-01 
16 	 1.797378e+00 	 2.040289e+00 	 2.582521e-01 	 -1.355845e-03 	 4.268431e-01 	 -1.616403e-04 	 2.582556e-01 	 4.268441e-01 	 1.353805e+00 	 8.513364e-01 
17 	 1.797378e+00 	 2.026000e+00 	 2.582521e-01 	 -1.355845e-03 	 4.169260e-01 	 -2.318876e-04 	 2.582556e-01 	 4.169271e-01 	 1.353805e+00 	 8.748438e-01 
18 	 1.780593e+00 	 2.012366e+00 	 2.412827e-01 	 -2.823744e-03 	 4.071680e-01 	 -3.758796e-04 	 2.412992e-01 	 4.071700e-01 	 1.421718e+00 	 8.985244e-01 
19 	 1.766577e+00 	 1.999430e+00 	 2.282550e-01 	 -2.828650e-03 	 3.977516e-01 	 -5.049728e-04 	 2.282725e-01 	 3.977544e-01 	 1.477215e+00 	 9.219206e-01 
20 	 1.754278e+00 	 1.987172e+00 	 2.167043e-01 	 -2.172135e-03 	 3.886992e-01 	 -5.883309e-04 	 2.167152e-01 	 3.887024e-01 	 1.529171e+00 	 9.449412e-01 
21 	 1.754278e+00 	 1.976082e+00 	 2.167043e-01 	 -2.172135e-03 	 3.805090e-01 	 -6.637502e-04 	 2.167152e-01 	 3.805126e-01 	 1.529171e+00 	 9.662361e-01 
22 	 1.742890e+00 	 1.965482e+00 	 2.103288e-01 	 -1.538551e-03 	 3.727735e-01 	 -7.035139e-04 	 2.103345e-01 	 3.727772e-01 	 1.559056e+00 	 9.867744e-01 
23 	 1.732599e+00 	 1.955357e+00 	 2.002773e-01 	 -1.933506e-03 	 3.652737e-01 	 -7.569918e-04 	 2.002866e-01 	 3.652776e-01 	 1.608006e+00 	 1.007098e+00 
24 	 1.722822e+00 	 1.945668e+00 	 1.940121e-01 	 -5.974686e-04 	 3.581378e-01 	 -7.503450e-04 	 1.940130e-01 	 3.581416e-01 	 1.639830e+00 	 1.026827e+00 
25 	 1.715612e+00 	 1.936466e+00 	 1.874919e-01 	 1.179767e-03 	 3.513119e-01 	 -6.731405e-04 	 1.874957e-01 	 3.513157e-01 	 1.674000e+00 	 1.046070e+00 
26 	 1.708071e+00 	 1.927681e+00 	 1.806642e-01 	 2.915527e-03 	 3.447486e-01 	 -5.351148e-04 	 1.806877e-01 	 3.447531e-01 	 1.710985e+00 	 1.064927e+00 
27 	 1.700408e+00 	 1.919264e+00 	 1.749766e-01 	 2.572814e-03 	 3.384607e-01 	 -4.200064e-04 	 1.749955e-01 	 3.384658e-01 	 1.742995e+00 	 1.083332e+00 
28 	 1.694955e+00 	 1.911253e+00 	 1.692193e-01 	 7.954773e-04 	 3.324164e-01 	 -3.765962e-04 	 1.692212e-01 	 3.324214e-01 	 1.776548e+00 	 1.101352e+00 
29 	 1.689554e+00 	 1.903608e+00 	 1.639408e-01 	 5.150995e-04 	 3.266069e-01 	 -3.458481e-04 	 1.639416e-01 	 3.266117e-01 	 1.808245e+00 	 1.118983e+00 
30 	 1.683300e+00 	 1.896264e+00 	 1.590358e-01 	 -5.283885e-04 	 3.210212e-01 	 -3.519328e-04 	 1.590367e-01 	 3.210259e-01 	 1.838621e+00 	 1.136234e+00 
31 	 1.677589e+00 	 1.889210e+00 	 1.524116e-01 	 -7.758219e-04 	 3.155822e-01 	 -3.656066e-04 	 1.524136e-01 	 3.155868e-01 	 1.881157e+00 	 1.153322e+00 
32 	 1.673200e+00 	 1.882460e+00 	 1.500660e-01 	 -1.160839e-03 	 3.104098e-01 	 -3.904576e-04 	 1.500705e-01 	 3.104144e-01 	 1.896650e+00 	 1.169847e+00 
33 	 1.668438e+00 	 1.875975e+00 	 1.457116e-01 	 -1.593234e-03 	 3.054189e-01 	 -4.269054e-04 	 1.457203e-01 	 3.054237e-01 	 1.926066e+00 	 1.186055e+00 
34 	 1.664728e+00 	 1.869761e+00 	 1.389481e-01 	 -9.171811e-04 	 3.005227e-01 	 -4.413253e-04 	 1.389511e-01 	 3.005274e-01 	 1.973633e+00 	 1.202216e+00 
35 	 1.660433e+00 	 1.863781e+00 	 1.339308e-01 	 -6.975691e-04 	 2.957630e-01 	 -4.486465e-04 	 1.339326e-01 	 2.957676e-01 	 2.010418e+00 	 1.218181e+00 
36 	 1.656404e+00 	 1.858020e+00 	 1.318844e-01 	 -2.259319e-03 	 2.912108e-01 	 -4.989430e-04 	 1.319038e-01 	 2.912158e-01 	 2.025682e+00 	 1.233691e+00 
37 	 1.652094e+00 	 1.852455e+00 	 1.292326e-01 	 -1.225780e-03 	 2.868330e-01 	 -5.185872e-04 	 1.292384e-01 	 2.868380e-01 	 2.046096e+00 	 1.248838e+00 
38 	 1.649668e+00 	 1.847118e+00 	 1.266496e-01 	 -1.559210e-03 	 2.826176e-01 	 -5.459721e-04 	 1.266592e-01 	 2.826228e-01 	 2.066256e+00 	 1.263642e+00 
39 	 1.646149e+00 	 1.841965e+00 	 1.258052e-01 	 -5.822805e-04 	 2.785968e-01 	 -5.469030e-04 	 1.258066e-01 	 2.786019e-01 	 2.073010e+00 	 1.277972e+00 
40 	 1.643111e+00 	 1.836994e+00 	 1.221241e-01 	 3.751036e-04 	 2.746850e-01 	 -5.238529e-04 	 1.221246e-01 	 2.746899e-01 	 2.102713e+00 	 1.292112e+00 
41 	 1.640146e+00 	 1.832193e+00 	 1.211760e-01 	 -1.274637e-03 	 2.709409e-01 	 -5.421647e-04 	 1.211827e-01 	 2.709458e-01 	 2.110456e+00 	 1.305836e+00 
42 	 1.639189e+00 	 1.827597e+00 	 1.189361e-01 	 -1.927428e-03 	 2.673217e-01 	 -5.751471e-04 	 1.189518e-01 	 2.673269e-01 	 2.129037e+00 	 1.319283e+00 
43 	 1.636356e+00 	 1.823150e+00 	 1.154057e-01 	 -2.249888e-03 	 2.637888e-01 	 -6.140946e-04 	 1.154276e-01 	 2.637944e-01 	 2.159112e+00 	 1.332585e+00 
44 	 1.634268e+00 	 1.818857e+00 	 1.123766e-01 	 -1.261419e-03 	 2.603476e-01 	 -6.288065e-04 	 1.123837e-01 	 2.603532e-01 	 2.185837e+00 	 1.345716e+00 
45 	 1.633216e+00 	 1.814732e+00 	 1.126451e-01 	 -6.686223e-04 	 2.570653e-01 	 -6.296913e-04 	 1.126471e-01 	 2.570709e-01 	 2.183496e+00 	 1.358403e+00 
46 	 1.630064e+00 	 1.810717e+00 	 1.096715e-01 	 -1.931145e-03 	 2.538611e-01 	 -6.579838e-04 	 1.096885e-01 	 2.538669e-01 	 2.210111e+00 	 1.370945e+00 
47 	 1.628397e+00 	 1.806838e+00 	 1.095208e-01 	 -1.926602e-03 	 2.507900e-01 	 -6.849756e-04 	 1.095377e-01 	 2.507961e-01 	 2.211486e+00 	 1.383115e+00 
