#beta=10/g^2, ml=ms/20, Nt=8, Ns=4*Nt, Quark action: HISQ action, Gauge symazik action: 1x1, 1x2, with u0=1.0;
#Beta	ms	T(MeV)
6.05	0.1064	116 Y
6.125	0.0966	125 Y
6.175	0.0906	131     
6.195	0.088	133  
6.245	0.083	140 
6.26	0.081	142  
6.285	0.079	146  Y
6.315	0.076	150  
6.341	0.074	154  Y
6.354	0.0728	156  Y
6.39	0.0694	161  
6.423	0.067	167  Y
6.445	0.0652	170  Y
6.46	0.064	173  Y
6.488	0.062	178  
6.515	0.0604	182  Y
6.55	0.0682	189  Wrong!!
6.575	0.0564	193  Y
6.608	0.0542	200  Y
6.664	0.0514	211  Y
6.74	0.0476	227  
6.8	0.0448	240  Y
6.88	0.0412	259  
6.95	0.0386	277  Y
7.03	0.0378	299  
7.15	0.032	334  Y
7.28	0.0284	377  Y
7.373	0.025	410  Y
7.5	0.0222	459  Y
7.596	0.0202	500  Y
7.825	0.0164	611  Y
8	0.014	711  Y
8.2	0.01167	843  Y

#Selecting 10 different temperature to generate gauge configuration
6.285	0.079	146  Y
6.515	0.0604	182  Y
6.575	0.0564	193  Y
6.664	0.0514	211  Y
6.95	0.0386	277  Y
7.28	0.0284	377  Y
7.5	0.0222	459  Y
7.596	0.0202	500  Y
7.825	0.0164	611  Y
8.2	0.01167	843  Y

#Switch row and coloumn
double beta[10]={6.285	6.515	6.575	6.664	6.95	7.28	7.5	7.596	7.825	8.2};
double ms[10]  ={0.079	0.0604	0.0564	0.0514	0.0386	0.0284	0.0222	0.0202	0.0164	0.01167};
double T[10]   ={146	182	193	211	277	377	459	500	611	843};


